chapter, key_id_number, "key_id_topic", "key_id_description"
1, 1, " Renaissance","  Renaissance scholars emphasized reason, questioned authority, and pursued free inquiry. As the Renaissance directed attention to scientific matters, Europeans wanted to know more about the world’s size, shape, and people. The movement away from feudalistic societies to monarchies provided the unity, power, and resources needed to explore new lands, conquer existing civilizations, and colonize the land."
1, 2," Restoration","  The monarchy was restored in England after the rule of Cromwell. Charles II ascended to the throne in 1660. Colonization had halted during Cromwell’s rule but with Charles II, England began to build its empire again."
1, 3," Prince Henry the Navigator of Portugal (1394 – 1460)","  Though not an explorer himself, Henry sponsored voyages that sent Portuguese explorers down the west coast of Africa seeking trade, colonies, and an all-water route around Africa to the East.  In 1498 Vasco da Gama became the first to reach India by this route."
1, 4," Pre-Columbian Civilizations in North America","  North America was extremely diverse with over 200 languages spoken in what is now the United States. These linguistic differences often corresponded to cultural differences and contributed to the difficulties Native Americans had in coordinating a response to European encroachment. A tiny sampling of the vast cultural diversity—Aztecs and Maya in Central America developed sophisticated agricultural techniques of maize farming. In the Mississippi Valley the dominant tribes built permanent settlements marked by huge ceremonial mounds. The Pueblo Indians of the Southwest erected multistory buildings and constructed elaborate irrigation systems. The Iroquois of the Northeast organized a powerful and long-lasting military confederation."
1, 5," Native Americans and the Environment","  As native populations migrated and settled across North America over time, they developed distinct and increasingly complex societies by adapting to and transforming their diverse environments. As a result, there were over 500 tribes in what is now the United States. The spread of maize cultivation from present-day Mexico northward into the American Southwest and beyond supported economic development, settlement, advanced irrigation, and social diversification among societies. Examples: Hopi and Navaho tribes. Societies responded to the aridity of the Great Basin and the grasslands of the western Great Plains by developing largely mobile lifestyles. Examples: Cheyenne and Crow tribes. In the Northeast, the Mississippi River Valley, and along the Atlantic seaboard some societies developed mixed agricultural and hunter-gatherer economies that favored the development of permanent villages. Examples: Iroquois and Huron tribes. Societies in the Northwest and present-day California supported themselves by hunting and gathering, and in some areas developed settled communities supported by the vast resources of the ocean. Examples: Chinook and Coos tribes."
1, 6," The Columbian Exchange","  The transfer of animals, plants, people, culture, and diseases between the New and Old Worlds had a dramatic effect on both hemispheres. From the New World, Europe received many crops including corn, potatoes, and tobacco. Syphilis was a likely arrival from the New World as well. From the Old World, the Americas received horses, cattle, wheat, and rice. The introduction of diseases such as smallpox, measles, and cholera killed an estimated 90% of the Indian population."
1, 7," Treaty of Tordesillas","  In 1494 the Pope divided the lands of the New World between Spain and Portugal.  Spain took the lion’s share of the area, but Portugal received compensating territory in Africa and Asia as well as the title to the lands that would later be Brazil.  "
1, 8," Spanish Armada","  In 1588 Phillip II of Spain amassed a fleet of ships, financed by Spain’s New World gains, to invade England and defeat Protestantism. The Armada was quickly overwhelmed by the faster, smaller, more maneuverable, and more ably-manned English ships. This weakened the imperial aspirations of Spain, marked the beginning of England’s dominance of the world’s oceans, and provided the opening for English colonization. "
1, 9," The Black Legend","  This was the idea that Spaniards only tortured and butchered Native Americans, stole their gold, infected them with smallpox, and left misery behind.  Although they did exploit and kill many natives, the Spanish also intermarried and created a culture of mestizos—people of mixed Indian/European descent.  Spain transplanted culture, laws, religion, and language and laid the foundation for today’s Spanish-speaking nations of the Americas. "
1, 10," Encomienda System","  The encomienda was a grant from the Spanish crown, not of land, but of control over the native inhabitants. The Spanish landlord was entitled to tribute from the native inhabitants in the form of gold, crops, or labor.  The encomienda system was not slavery; the inhabitants could not be rented or sold. The landlord was to protect and Christianize the natives. But in practice, the natives were subject to harsh treatment and excessive demands for tribute."
1, 11," Juan de Sepulveda and Bartolome de las Casas—1550 ","  In a famous debate at the Spanish court Sepulveda and las Casas disputed whether Indians had souls. Sepulveda, arguing that they did not, said that the Indians were natural slaves and should be treated as such. Las Casas disagreed and persuaded King Charles V to uphold laws that attempted to reform the encomienda system (reforms which had limited effect). Las Casas, in order to protect the Native Americans, argued that African slaves should instead provide labor for the Spanish colonies, a position for which he later apologized. "
1, 12," The Spanish Mission System","  Leaving control of the Indians in the hands of civilians and soldiers as with the encomienda system of led to unfortunate results. The mission system combined native communities with supervision by Catholic priests and friars. The stated goal of the mission system was to Christianize the Indians and prepare them for assimilation into Hispanic society. Unfortunately, the temptation to use the Indians for forced labor often interfered with this goal."
1, 13," Juan de Oñate and the Acoma Rebellion—1598 ","  Oñate hoped to conquer what is now New Mexico for Spain and grant encomiendas to his followers. When he reached the Acoma Pueblo and announced that it was now subject to the king of Spain, Indians rebelled. Oñate crushed the rebellion, cutting off a foot from each man in the pueblo."
1, 14," Popé and the Pueblo Rebellion—1680","  Missions and encomiendas placed increasing burdens on the Pueblo Indians of present-day New Mexico. Prohibitions on the practice of traditional religions and excessive demands for tribute led Popé, a tribal spiritual elder, and others to lead a rebellion against Spanish rule. Although the Pueblos killed 400 Spaniards and destroyed many mission churches, by 1696 Spain regained control of the area."
1, 15,"Virginia Company","  The Virginia Company (a joint-stock company) received a charter from King James I of England for a settlement in the New World.  The Charter guaranteed settlers the same rights that they enjoyed at home; eventually this idea was extended to the other English colonies and became a cornerstone of American liberties."
1, 16," Joint-Stock Company","  A joint-stock company allowed a considerable number of investors to pool their capital. These companies provided the financial means to colonize the New World.  Each shareholder contributed some money to the company and received a proportionate share of the company’s profits or losses. Such a company was only intended to endure for a few years, after which the stockholders hoped to liquidate it for profit. This arrangement put extreme pressure on the colonists who were threatened with abandonment if they did not quickly strike it rich on the company’s behalf."
1, 17," Proprietary Colonies","  A colony that belonged to a proprietor, or owner. These were usually royal land grants.  Examples: Maryland (the first proprietary colony), Delaware, and Pennsylvania."
1, 18," Royal Colonies","  Such colonies were under the direct control of the king. Royal colonies had a governor and a governor’s council (upper house of colonial legislature) selected by the king. Eligible voters selected the lower house of colonial legislatures."
1, 19," John Rolfe","  English settler at Jamestown who married Pocahontas.  He imported to Virginia a new variety of tobacco, one more palatable to European tastes. This gave Virginia a valuable export and made Virginia an economically viable colony."
1, 20," Lord Baltimore","  He founded Maryland in 1634, partly for financial profit and partially to create a refuge for fellow Catholics whose religious worship was limited in Protestant England. When religious tension arose between Catholics and the more numerous Protestants, Baltimore drafted the Act for Religious Toleration (passed in 1649)."
1, 21," Walter Raleigh","  Inspired by the colonization efforts of his half-brother, Sir Humphrey Gilbert, Raleigh organized a group of settlers who landed in 1585 on North Carolina’s Roanoke Island off the coast of Virginia.  With Raleigh busy at home, tensions grew with the local Indians and by the time a relief party arrived in 1591 the Roanoke colony had vanished, swallowed up by the wilderness. A favorite of Elizabeth I, he introduced tobacco and the potato to Europe. "
1, 22," James Oglethorpe","  Oglethorpe was a philanthropist who helped to found Georgia in 1733.  Oglethorpe became interested in prison reform after a friend died in debtor’s prison, and he was determined to create a haven for people imprisoned for debt.  The colony was also to serve as a buffer between the Spanish to the south and the valuable Carolinas to the north."
1, 23," John Smith","  Smith saved Virginia from collapse by his leadership and resourcefulness.  Taking over in 1608, he told the colonists to produce food instead of mine for gold and whipped the gold-hungry colonists into shape with this rule: ““He who will not work shall not eat.”“"
1, 24," Spanish, French, Dutch, and English Settlement Patterns","  Spanish efforts to extract wealth from the land led them to develop institutions based on subjugating native populations (the encomienda), converting them to Christianity, and incorporating them, along with enslaved and free Africans, into the Spanish colonial society. French and Dutch colonial efforts involved relatively few Europeans and relied on trade alliances and intermarriage with American Indians to build economic and diplomatic relationships and acquire furs and other products for export to Europe. English colonization efforts attracted a comparatively large number of male and female British migrants, as well as other European migrants, all of whom sought social mobility, economic prosperity, religious freedom, and improved living conditions.  These colonists focused on agriculture and settled on land taken from Native Americans, from whom they lived separately. Key ID’s Ch. 2, 1619 — 1700 "
2, 1," Protestant Reformation","  A movement of religious reform ignited in 1517 when Martin Luther nailed his protests against Catholic doctrines to the door of Wittenberg’s cathedral. Luther declared that the Bible alone was the source of God’s word; he also denounced the authority of priests and popes.  The Reformation led to religious conflict, missionary zeal, and the development of Puritanism."
2, 2," John Calvin","  Calvin was a Protestant theologian from Geneva who argued that humans were weak and wicked due to original sin. Some souls were predestined to go to heaven and others to hell. This was the foundation of Puritanism."
2, 3," Protestant Ethic","  A Puritan doctrine that stated the Puritans were called to do God’s work on this Earth. It involved serious commitment to work and to engagement in the world’s affairs. "
